timestamp,switch_dpid,in_port,src_mac,dst_mac,eth_type,protocol,src_ip,dst_ip,src_port,dst_port,action
2026-04-15 04:55:00.259211,00-00-00-00-00-01,3,2e:6c:2d:f8:08:d4,33:33:00:00:00:16,0x86dd,OTHER,N/A,N/A,N/A,N/A,FLOODED
2026-04-15 04:55:00.386369,00-00-00-00-00-01,1,42:be:a6:6b:43:f7,33:33:00:00:00:16,0x86dd,OTHER,N/A,N/A,N/A,N/A,FLOODED
2026-04-15 04:55:00.834261,00-00-00-00-00-01,3,2e:6c:2d:f8:08:d4,33:33:ff:f8:08:d4,0x86dd,OTHER,N/A,N/A,N/A,N/A,FLOODED
2026-04-15 04:55:00.866019,00-00-00-00-00-01,1,42:be:a6:6b:43:f7,33:33:00:00:00:16,0x86dd,OTHER,N/A,N/A,N/A,N/A,FLOODED
2026-04-15 04:55:00.867312,00-00-00-00-00-01,1,42:be:a6:6b:43:f7,33:33:00:00:00:02,0x86dd,OTHER,N/A,N/A,N/A,N/A,FLOODED
2026-04-15 04:55:00.994633,00-00-00-00-00-01,2,16:d0:1f:ee:9c:a5,33:33:00:00:00:16,0x86dd,OTHER,N/A,N/A,N/A,N/A,FLOODED
2026-04-15 04:55:00.995287,00-00-00-00-00-01,2,16:d0:1f:ee:9c:a5,33:33:00:00:00:02,0x86dd,OTHER,N/A,N/A,N/A,N/A,FLOODED
2026-04-15 04:55:01.185646,00-00-00-00-00-01,1,42:be:a6:6b:43:f7,33:33:00:00:00:16,0x86dd,OTHER,N/A,N/A,N/A,N/A,FLOODED
2026-04-15 04:55:01.634091,00-00-00-00-00-01,2,16:d0:1f:ee:9c:a5,33:33:00:00:00:16,0x86dd,OTHER,N/A,N/A,N/A,N/A,FLOODED
2026-04-15 04:55:01.857601,00-00-00-00-00-01,3,2e:6c:2d:f8:08:d4,33:33:00:00:00:16,0x86dd,OTHER,N/A,N/A,N/A,N/A,FLOODED
2026-04-15 04:55:01.858125,00-00-00-00-00-01,3,2e:6c:2d:f8:08:d4,33:33:00:00:00:02,0x86dd,OTHER,N/A,N/A,N/A,N/A,FLOODED
2026-04-15 04:55:02.369952,00-00-00-00-00-01,3,2e:6c:2d:f8:08:d4,33:33:00:00:00:16,0x86dd,OTHER,N/A,N/A,N/A,N/A,FLOODED
2026-04-15 04:55:04.898457,00-00-00-00-00-01,2,16:d0:1f:ee:9c:a5,33:33:00:00:00:02,0x86dd,OTHER,N/A,N/A,N/A,N/A,FLOODED
2026-04-15 04:55:05.153266,00-00-00-00-00-01,1,42:be:a6:6b:43:f7,33:33:00:00:00:02,0x86dd,OTHER,N/A,N/A,N/A,N/A,FLOODED
2026-04-15 04:55:06.178289,00-00-00-00-00-01,3,2e:6c:2d:f8:08:d4,33:33:00:00:00:02,0x86dd,OTHER,N/A,N/A,N/A,N/A,FLOODED
2026-04-15 04:55:12.321764,00-00-00-00-00-01,2,16:d0:1f:ee:9c:a5,33:33:00:00:00:02,0x86dd,OTHER,N/A,N/A,N/A,N/A,FLOODED
2026-04-15 04:55:13.090057,00-00-00-00-00-01,1,42:be:a6:6b:43:f7,33:33:00:00:00:02,0x86dd,OTHER,N/A,N/A,N/A,N/A,FLOODED
2026-04-15 04:55:14.625357,00-00-00-00-00-01,3,2e:6c:2d:f8:08:d4,33:33:00:00:00:02,0x86dd,OTHER,N/A,N/A,N/A,N/A,FLOODED
2026-04-15 04:55:27.426683,00-00-00-00-00-01,2,16:d0:1f:ee:9c:a5,33:33:00:00:00:02,0x86dd,OTHER,N/A,N/A,N/A,N/A,FLOODED
2026-04-15 04:55:28.194220,00-00-00-00-00-01,1,42:be:a6:6b:43:f7,33:33:00:00:00:02,0x86dd,OTHER,N/A,N/A,N/A,N/A,FLOODED
2026-04-15 04:55:31.778594,00-00-00-00-00-01,3,2e:6c:2d:f8:08:d4,33:33:00:00:00:02,0x86dd,OTHER,N/A,N/A,N/A,N/A,FLOODED
2026-04-15 04:55:58.402486,00-00-00-00-00-01,2,16:d0:1f:ee:9c:a5,33:33:00:00:00:02,0x86dd,OTHER,N/A,N/A,N/A,N/A,FLOODED
2026-04-15 04:55:58.403312,00-00-00-00-00-01,1,42:be:a6:6b:43:f7,33:33:00:00:00:02,0x86dd,OTHER,N/A,N/A,N/A,N/A,FLOODED
2026-04-15 04:56:04.546773,00-00-00-00-00-01,3,2e:6c:2d:f8:08:d4,33:33:00:00:00:02,0x86dd,OTHER,N/A,N/A,N/A,N/A,FLOODED
2026-04-15 04:56:55.746926,00-00-00-00-00-01,1,42:be:a6:6b:43:f7,33:33:00:00:00:02,0x86dd,OTHER,N/A,N/A,N/A,N/A,FLOODED
2026-04-15 04:57:01.893973,00-00-00-00-00-01,2,16:d0:1f:ee:9c:a5,33:33:00:00:00:02,0x86dd,OTHER,N/A,N/A,N/A,N/A,FLOODED
2026-04-15 04:57:12.129742,00-00-00-00-00-01,3,2e:6c:2d:f8:08:d4,33:33:00:00:00:02,0x86dd,OTHER,N/A,N/A,N/A,N/A,FLOODED
2026-04-15 04:57:22.335296,00-00-00-00-00-01,1,42:be:a6:6b:43:f7,ff:ff:ff:ff:ff:ff,0x0806,ARP,10.0.0.1,10.0.0.2,N/A,N/A,FLOODED
2026-04-15 04:57:22.337873,00-00-00-00-00-01,2,16:d0:1f:ee:9c:a5,42:be:a6:6b:43:f7,0x0806,ARP,10.0.0.2,10.0.0.1,N/A,N/A,FORWARDED
2026-04-15 04:57:22.383153,00-00-00-00-00-01,1,42:be:a6:6b:43:f7,16:d0:1f:ee:9c:a5,0x0800,ICMP,10.0.0.1,10.0.0.2,N/A,N/A,BLOCKED
2026-04-15 04:57:46.217787,00-00-00-00-00-01,1,42:be:a6:6b:43:f7,16:d0:1f:ee:9c:a5,0x0800,ICMP,10.0.0.1,10.0.0.2,N/A,N/A,BLOCKED
2026-04-15 04:57:52.322788,00-00-00-00-00-01,1,42:be:a6:6b:43:f7,16:d0:1f:ee:9c:a5,0x0806,ARP,10.0.0.1,10.0.0.2,N/A,N/A,FORWARDED
2026-04-15 04:57:52.325573,00-00-00-00-00-01,2,16:d0:1f:ee:9c:a5,42:be:a6:6b:43:f7,0x0806,ARP,10.0.0.2,10.0.0.1,N/A,N/A,FORWARDED
2026-04-15 04:58:48.387433,00-00-00-00-00-01,1,42:be:a6:6b:43:f7,33:33:00:00:00:02,0x86dd,OTHER,N/A,N/A,N/A,N/A,FLOODED
2026-04-15 04:59:08.872172,00-00-00-00-00-01,2,16:d0:1f:ee:9c:a5,33:33:00:00:00:02,0x86dd,OTHER,N/A,N/A,N/A,N/A,FLOODED
2026-04-15 04:59:14.405445,00-00-00-00-00-01,1,42:be:a6:6b:43:f7,16:d0:1f:ee:9c:a5,0x0800,TCP,10.0.0.1,10.0.0.2,42032,5001,FORWARDED
2026-04-15 04:59:14.409625,00-00-00-00-00-01,2,16:d0:1f:ee:9c:a5,42:be:a6:6b:43:f7,0x0800,TCP,10.0.0.2,10.0.0.1,5001,42032,FORWARDED
2026-04-15 04:59:19.617736,00-00-00-00-00-01,2,16:d0:1f:ee:9c:a5,42:be:a6:6b:43:f7,0x0806,ARP,10.0.0.2,10.0.0.1,N/A,N/A,FORWARDED
2026-04-15 04:59:19.621239,00-00-00-00-00-01,1,42:be:a6:6b:43:f7,16:d0:1f:ee:9c:a5,0x0806,ARP,10.0.0.1,10.0.0.2,N/A,N/A,FORWARDED
2026-04-15 04:59:33.446869,00-00-00-00-00-01,3,2e:6c:2d:f8:08:d4,33:33:00:00:00:02,0x86dd,OTHER,N/A,N/A,N/A,N/A,FLOODED
2026-04-15 05:01:49.411750,00-00-00-00-00-01,1,ce:23:a5:3c:8e:23,33:33:00:00:00:16,0x86dd,OTHER,N/A,N/A,N/A,N/A,FLOODED
2026-04-15 05:01:49.507909,00-00-00-00-00-01,2,4e:43:4e:41:96:bf,33:33:ff:41:96:bf,0x86dd,OTHER,N/A,N/A,N/A,N/A,FLOODED
2026-04-15 05:01:49.635190,00-00-00-00-00-01,3,42:04:a8:be:3c:e2,33:33:ff:be:3c:e2,0x86dd,OTHER,N/A,N/A,N/A,N/A,FLOODED
2026-04-15 05:01:50.050558,00-00-00-00-00-01,2,4e:43:4e:41:96:bf,33:33:00:00:00:16,0x86dd,OTHER,N/A,N/A,N/A,N/A,FLOODED
2026-04-15 05:01:50.082755,00-00-00-00-00-01,1,ce:23:a5:3c:8e:23,33:33:ff:3c:8e:23,0x86dd,OTHER,N/A,N/A,N/A,N/A,FLOODED
2026-04-15 05:01:50.114183,00-00-00-00-00-01,3,42:04:a8:be:3c:e2,33:33:00:00:00:16,0x86dd,OTHER,N/A,N/A,N/A,N/A,FLOODED
2026-04-15 05:01:50.529994,00-00-00-00-00-01,2,4e:43:4e:41:96:bf,33:33:00:00:00:16,0x86dd,OTHER,N/A,N/A,N/A,N/A,FLOODED
2026-04-15 05:01:50.530716,00-00-00-00-00-01,2,4e:43:4e:41:96:bf,33:33:00:00:00:02,0x86dd,OTHER,N/A,N/A,N/A,N/A,FLOODED
2026-04-15 05:01:50.657784,00-00-00-00-00-01,3,42:04:a8:be:3c:e2,33:33:00:00:00:16,0x86dd,OTHER,N/A,N/A,N/A,N/A,FLOODED
2026-04-15 05:01:50.658484,00-00-00-00-00-01,3,42:04:a8:be:3c:e2,33:33:00:00:00:02,0x86dd,OTHER,N/A,N/A,N/A,N/A,FLOODED
2026-04-15 05:01:50.778509,00-00-00-00-00-01,2,4e:43:4e:41:96:bf,33:33:00:00:00:16,0x86dd,OTHER,N/A,N/A,N/A,N/A,FLOODED
2026-04-15 05:01:51.106865,00-00-00-00-00-01,1,ce:23:a5:3c:8e:23,33:33:00:00:00:16,0x86dd,OTHER,N/A,N/A,N/A,N/A,FLOODED
2026-04-15 05:01:51.107452,00-00-00-00-00-01,1,ce:23:a5:3c:8e:23,33:33:00:00:00:02,0x86dd,OTHER,N/A,N/A,N/A,N/A,FLOODED
2026-04-15 05:01:51.362424,00-00-00-00-00-01,3,42:04:a8:be:3c:e2,33:33:00:00:00:16,0x86dd,OTHER,N/A,N/A,N/A,N/A,FLOODED
2026-04-15 05:01:51.490669,00-00-00-00-00-01,1,ce:23:a5:3c:8e:23,33:33:00:00:00:16,0x86dd,OTHER,N/A,N/A,N/A,N/A,FLOODED
2026-04-15 05:01:55.011227,00-00-00-00-00-01,1,ce:23:a5:3c:8e:23,33:33:00:00:00:02,0x86dd,OTHER,N/A,N/A,N/A,N/A,FLOODED
2026-04-15 05:01:55.012392,00-00-00-00-00-01,3,42:04:a8:be:3c:e2,33:33:00:00:00:02,0x86dd,OTHER,N/A,N/A,N/A,N/A,FLOODED
2026-04-15 05:01:55.013012,00-00-00-00-00-01,2,4e:43:4e:41:96:bf,33:33:00:00:00:02,0x86dd,OTHER,N/A,N/A,N/A,N/A,FLOODED
2026-04-15 05:02:02.946652,00-00-00-00-00-01,1,ce:23:a5:3c:8e:23,33:33:00:00:00:02,0x86dd,OTHER,N/A,N/A,N/A,N/A,FLOODED
2026-04-15 05:02:03.457725,00-00-00-00-00-01,3,42:04:a8:be:3c:e2,33:33:00:00:00:02,0x86dd,OTHER,N/A,N/A,N/A,N/A,FLOODED
2026-04-15 05:02:03.970815,00-00-00-00-00-01,2,4e:43:4e:41:96:bf,33:33:00:00:00:02,0x86dd,OTHER,N/A,N/A,N/A,N/A,FLOODED
2026-04-15 05:02:18.052848,00-00-00-00-00-01,1,ce:23:a5:3c:8e:23,33:33:00:00:00:02,0x86dd,OTHER,N/A,N/A,N/A,N/A,FLOODED
2026-04-15 05:02:21.378397,00-00-00-00-00-01,2,4e:43:4e:41:96:bf,33:33:00:00:00:02,0x86dd,OTHER,N/A,N/A,N/A,N/A,FLOODED
2026-04-15 05:02:21.379383,00-00-00-00-00-01,3,42:04:a8:be:3c:e2,33:33:00:00:00:02,0x86dd,OTHER,N/A,N/A,N/A,N/A,FLOODED
2026-04-15 05:02:46.369208,00-00-00-00-00-01,1,ce:23:a5:3c:8e:23,ff:ff:ff:ff:ff:ff,0x0806,ARP,10.0.0.1,10.0.0.2,N/A,N/A,FLOODED
2026-04-15 05:02:46.370707,00-00-00-00-00-01,2,4e:43:4e:41:96:bf,ce:23:a5:3c:8e:23,0x0806,ARP,10.0.0.2,10.0.0.1,N/A,N/A,FORWARDED
2026-04-15 05:02:46.414282,00-00-00-00-00-01,1,ce:23:a5:3c:8e:23,4e:43:4e:41:96:bf,0x0800,ICMP,10.0.0.1,10.0.0.2,N/A,N/A,BLOCKED
2026-04-15 05:02:50.051065,00-00-00-00-00-01,1,ce:23:a5:3c:8e:23,33:33:00:00:00:02,0x86dd,OTHER,N/A,N/A,N/A,N/A,FLOODED
2026-04-15 05:02:56.195531,00-00-00-00-00-01,3,42:04:a8:be:3c:e2,33:33:00:00:00:02,0x86dd,OTHER,N/A,N/A,N/A,N/A,FLOODED
2026-04-15 05:02:56.196426,00-00-00-00-00-01,2,4e:43:4e:41:96:bf,33:33:00:00:00:02,0x86dd,OTHER,N/A,N/A,N/A,N/A,FLOODED
2026-04-15 05:03:53.539472,00-00-00-00-00-01,1,ce:23:a5:3c:8e:23,33:33:00:00:00:02,0x86dd,OTHER,N/A,N/A,N/A,N/A,FLOODED
2026-04-15 05:04:03.779125,00-00-00-00-00-01,2,4e:43:4e:41:96:bf,33:33:00:00:00:02,0x86dd,OTHER,N/A,N/A,N/A,N/A,FLOODED
2026-04-15 05:04:05.827514,00-00-00-00-00-01,3,42:04:a8:be:3c:e2,33:33:00:00:00:02,0x86dd,OTHER,N/A,N/A,N/A,N/A,FLOODED
2026-04-15 05:07:23.827754,00-00-00-00-00-01,1,0e:f6:5b:be:17:17,33:33:00:00:00:16,0x86dd,OTHER,N/A,N/A,N/A,N/A,FLOODED
2026-04-15 05:07:24.098794,00-00-00-00-00-01,3,c2:ff:f8:02:1e:ff,33:33:ff:02:1e:ff,0x86dd,OTHER,N/A,N/A,N/A,N/A,FLOODED
2026-04-15 05:07:24.258771,00-00-00-00-00-01,1,0e:f6:5b:be:17:17,33:33:ff:be:17:17,0x86dd,OTHER,N/A,N/A,N/A,N/A,FLOODED
2026-04-15 05:07:24.417770,00-00-00-00-00-01,2,e2:6f:2c:1b:36:37,33:33:00:00:00:16,0x86dd,OTHER,N/A,N/A,N/A,N/A,FLOODED
2026-04-15 05:07:24.833809,00-00-00-00-00-01,2,e2:6f:2c:1b:36:37,33:33:00:00:00:16,0x86dd,OTHER,N/A,N/A,N/A,N/A,FLOODED
2026-04-15 05:07:24.834345,00-00-00-00-00-01,2,e2:6f:2c:1b:36:37,33:33:00:00:00:02,0x86dd,OTHER,N/A,N/A,N/A,N/A,FLOODED
2026-04-15 05:07:25.121635,00-00-00-00-00-01,3,c2:ff:f8:02:1e:ff,33:33:00:00:00:16,0x86dd,OTHER,N/A,N/A,N/A,N/A,FLOODED
2026-04-15 05:07:25.122278,00-00-00-00-00-01,3,c2:ff:f8:02:1e:ff,33:33:00:00:00:02,0x86dd,OTHER,N/A,N/A,N/A,N/A,FLOODED
2026-04-15 05:07:25.282391,00-00-00-00-00-01,1,0e:f6:5b:be:17:17,33:33:00:00:00:16,0x86dd,OTHER,N/A,N/A,N/A,N/A,FLOODED
2026-04-15 05:07:25.283080,00-00-00-00-00-01,1,0e:f6:5b:be:17:17,33:33:00:00:00:02,0x86dd,OTHER,N/A,N/A,N/A,N/A,FLOODED
2026-04-15 05:07:25.570605,00-00-00-00-00-01,3,c2:ff:f8:02:1e:ff,33:33:00:00:00:16,0x86dd,OTHER,N/A,N/A,N/A,N/A,FLOODED
2026-04-15 05:07:25.731194,00-00-00-00-00-01,2,e2:6f:2c:1b:36:37,33:33:00:00:00:16,0x86dd,OTHER,N/A,N/A,N/A,N/A,FLOODED
2026-04-15 05:07:26.177721,00-00-00-00-00-01,1,0e:f6:5b:be:17:17,33:33:00:00:00:16,0x86dd,OTHER,N/A,N/A,N/A,N/A,FLOODED
2026-04-15 05:07:28.834572,00-00-00-00-00-01,2,e2:6f:2c:1b:36:37,33:33:00:00:00:02,0x86dd,OTHER,N/A,N/A,N/A,N/A,FLOODED
2026-04-15 05:07:29.089569,00-00-00-00-00-01,3,c2:ff:f8:02:1e:ff,33:33:00:00:00:02,0x86dd,OTHER,N/A,N/A,N/A,N/A,FLOODED
2026-04-15 05:07:29.602199,00-00-00-00-00-01,1,0e:f6:5b:be:17:17,33:33:00:00:00:02,0x86dd,OTHER,N/A,N/A,N/A,N/A,FLOODED
2026-04-15 05:07:36.770243,00-00-00-00-00-01,2,e2:6f:2c:1b:36:37,33:33:00:00:00:02,0x86dd,OTHER,N/A,N/A,N/A,N/A,FLOODED
2026-04-15 05:07:36.770959,00-00-00-00-00-01,3,c2:ff:f8:02:1e:ff,33:33:00:00:00:02,0x86dd,OTHER,N/A,N/A,N/A,N/A,FLOODED
2026-04-15 05:07:38.562420,00-00-00-00-00-01,1,0e:f6:5b:be:17:17,33:33:00:00:00:02,0x86dd,OTHER,N/A,N/A,N/A,N/A,FLOODED
2026-04-15 05:07:51.875035,00-00-00-00-00-01,2,e2:6f:2c:1b:36:37,33:33:00:00:00:02,0x86dd,OTHER,N/A,N/A,N/A,N/A,FLOODED
2026-04-15 05:07:52.131008,00-00-00-00-00-01,3,c2:ff:f8:02:1e:ff,33:33:00:00:00:02,0x86dd,OTHER,N/A,N/A,N/A,N/A,FLOODED
2026-04-15 05:07:57.249591,00-00-00-00-00-01,1,0e:f6:5b:be:17:17,33:33:00:00:00:02,0x86dd,OTHER,N/A,N/A,N/A,N/A,FLOODED
2026-04-15 05:08:21.826378,00-00-00-00-00-01,2,e2:6f:2c:1b:36:37,33:33:00:00:00:02,0x86dd,OTHER,N/A,N/A,N/A,N/A,FLOODED
2026-04-15 05:08:25.923117,00-00-00-00-00-01,3,c2:ff:f8:02:1e:ff,33:33:00:00:00:02,0x86dd,OTHER,N/A,N/A,N/A,N/A,FLOODED
2026-04-15 05:08:32.067319,00-00-00-00-00-01,1,0e:f6:5b:be:17:17,33:33:00:00:00:02,0x86dd,OTHER,N/A,N/A,N/A,N/A,FLOODED
